iter	Passed	Remaining
268	15168	41220
269	15240	41206
270	15315	41198
271	15324	41014
272	15395	40997
273	15432	40889
274	15506	40880
275	15510	40687
276	15545	40575
277	15620	40568
278	15700	40574
279	15714	40407
280	15719	40221
281	15753	40109
282	15826	40097
283	15901	40090
284	15911	39917
285	15982	39900
286	16018	39795
287	16092	39783
288	16128	39679
289	16203	39670
290	16279	39663
291	16284	39483
292	16287	39300
293	16362	39291
294	16374	39132
295	16377	38952
296	16386	38787
297	16403	38642
298	16477	38630
299	16551	38619
300	16563	38465
301	16635	38449
302	16710	38438
303	16722	38285
304	16793	38267
305	16870	38261
306	16946	38254
307	16981	38154
308	16989	37993
309	16992	37822
310	17063	37802
311	17066	37633
312	17136	37612
313	17210	37601
314	17285	37589
315	17362	37582
316	17383	37453
317	17387	37289
318	17389	37124
319	17461	37105
320	17536	37093
321	17540	36933
322	17551	36788
323	17623	36770
324	17628	36612
325	17701	36597
326	17776	36584
327	17788	36445
328	17860	36426
329	17862	36266
330	17938	36256
331	17943	36102
332	18017	36088
333	18020	35932
334	18088	35907
335	18098	35765
336	18170	35748
337	18173	35594
338	18176	35441
339	18251	35428
340	18321	35406
341	18390	35383
342	18397	35240
343	18430	35146
344	18503	35130
345	18583	35126
346	18662	35119
347	18739	35109
348	18815	35096
349	18889	35080
350	18893	34934
351	18899	34792
352	18903	34646
353	18906	34502
354	18912	34363
355	18983	34341
356	18993	34208
357	19067	34192
358	19145	34183
359	19147	34040
360	19226	34032
361	19305	34024
362	19380	34009
363	19456	33995
364	19533	33982
365	19614	33976
366	19620	33840
367	19657	33759
368	19734	33746
369	19813	33736
370	19816	33596
371	19896	33588
372	19910	33468
373	19912	33329
374	19917	33195
375	19926	33069
376	20003	33056
377	20009	32926
378	20012	32790
379	20088	32776
380	20167	32765
381	20171	32634
382	20246	32616
383	20322	32601
384	20401	32589
385	20476	32570
386	20483	32446
387	20557	32426
388	20634	32410
389	20712	32395
390	20786	32376
391	20860	32355
392	20935	32335
393	20944	32214
394	20954	32094
395	21026	32070
396	21100	32049
397	21175	32029
398	21250	32009
399	21270	31906
400	21343	31881
401	21345	31752
402	21421	31733
403	21497	31713
404	21573	31694
405	21582	31576
406	21586	31451
407	21588	31323
408	21590	31198
409	21661	31171
410	21736	31149
411	21772	31073
412	21846	31050
413	21921	31029
414	21928	30911
415	22000	30885
416	22076	30865
417	22151	30842
418	22159	30726
419	22230	30698
420	22306	30678
421	22388	30664
422	22405	30563
423	22487	30548
424	22504	30447
425	22517	30340
426	22539	30245
427	22546	30132
428	22568	30038
429	22590	29945
430	22668	29926
431	22674	29813
432	22759	29802
433	22846	29794
434	22851	29680
435	22864	29576
436	22940	29554
437	22945	29441
438	22953	29332
439	22977	29243
440	23057	29227
441	23140	29213
442	23220	29196
443	23301	29179
444	23341	29111
445	23351	29005
446	23428	28984
447	23508	28965
448	23587	28945
449	23669	28929
450	23749	28910
451	23830	28892
452	23909	28871
453	23984	28845
454	24020	28771
455	24027	28664
456	24043	28568
457	24053	28465
458	24125	28435
459	24202	28411
460	24283	28392
461	24366	28374
462	24392	28291
463	24473	28271
464	24557	28253
465	24640	28236
466	24719	28213
467	24794	28185
468	24868	28156
469	24947	28132
470	24968	28042
471	25041	28012
472	25065	27926
473	25083	27835
474	25090	27731
475	25099	27630
476	25174	27602
477	25251	27576
478	25254	27468
479	25330	27440
480	25342	27344
481	25414	27312
482	25490	27285
483	25503	27189
484	25506	27084
485	25577	27051
486	25652	27021
487	25659	26921
488	25663	26817
489	25729	26779
490	25803	26749
491	25813	26652
492	25885	26620
493	25959	26590
494	26029	26555
495	26104	26525
496	26181	26497
497	26190	26400
498	26261	26366
499	26336	26336
500	26410	26305
501	26420	26209
502	26493	26177
503	26567	26145
504	26642	26115
505	26719	26085
506	26723	25985
507	26797	25953
508	26810	25862
509	26881	25827
510	26956	25795
511	26959	25695
512	26995	25627
513	26998	25527
514	27002	25429
515	27077	25397
516	27151	25366
517	27187	25298
518	27259	25264
519	27272	25174
520	27342	25138
521	27418	25107
522	27491	25073
523	27494	24975
524	27530	24908
525	27605	24876
526	27681	24844
527	27688	24751
528	27705	24667
529	27708	24571
530	27712	24476
531	27782	24440
532	27857	24408
533	27932	24375
534	28008	24343
535	28083	24310
536	28159	24278
537	28234	24246
538	28254	24166
539	28326	24129
540	28403	24098
541	28479	24065
542	28491	23979
543	28500	23890
544	28516	23807
545	28588	23771
546	28623	23704
547	28698	23670
548	28773	23637
549	28848	23603
550	28924	23569
551	28998	23535
552	29068	23496
553	29144	23463
554	29157	23378
555	29229	23341
556	29304	23307
557	29380	23272
558	29453	23236
559	29529	23201
560	29549	23123
561	29619	23083
562	29693	23047
563	29708	22965
564	29780	22928
565	29854	22891
566	29930	22857
567	29937	22769
568	30010	22732
569	30047	22667
570	30120	22630
571	30125	22541
572	30199	22505
573	30207	22418
574	30279	22380
575	30299	22303
576	30316	22225
577	30349	22158
578	30424	22121
579	30444	22045
580	30454	21963
581	30458	21875
582	30528	21835
583	30563	21771
584	30566	21684
585	30585	21607
586	30587	21520
587	30658	21481
588	30735	21446
589	30755	21372
590	30828	21334
591	30835	21251
592	30908	21213
593	30983	21177
594	31057	21139
595	31132	21103
596	31208	21066
597	31219	20986
598	31290	20947
599	31365	20910
600	31400	20846
601	31475	20809
602	31550	20772
603	31586	20709
604	31620	20645
605	31698	20609
606	31780	20575
607	31821	20516
608	31900	20481
609	31980	20446
610	31992	20368
611	32060	20326
612	32138	20289
613	32216	20253
614	32290	20214
615	32364	20175
616	32384	20102
617	32389	20020
618	32461	19980
619	32535	19940
620	32609	19901
621	32685	19863
622	32759	19824
623	32834	19784
624	32910	19746
625	32986	19707
626	33061	19668
627	33074	19592
628	33148	19551
629	33223	19512
630	33299	19472
631	33377	19434
632	33445	19391
633	33458	19314
634	33461	19233
635	33531	19191
636	33605	19150
637	33680	19110
638	33755	19070
639	33830	19029
640	33833	18948
641	33909	18908
642	33985	18868
643	34059	18828
644	34069	18751
645	34101	18687
646	34174	18645
647	34179	18566
648	34187	18489
649	34259	18447
650	34332	18405
651	34409	18365
652	34416	18288
653	34421	18210
654	34498	18171
655	34519	18101
656	34552	18039
657	34626	17997
658	34629	17918
659	34705	17878
660	34779	17836
661	34799	17767
662	34871	17725
663	34879	17649
664	34946	17604
665	35020	17562
666	35097	17522
667	35170	17479
668	35244	17437
669	35318	17395
670	35393	17353
671	35395	17276
672	35416	17208
673	35426	17134
674	35496	17091
675	35571	17049
676	35648	17007
677	35668	16939
678	35685	16870
679	35758	16827
680	35767	16754
681	35799	16692
682	35875	16650
683	35896	16583
684	35968	16540
685	36003	16479
686	36071	16434
687	36147	16392
688	36161	16322
689	36233	16278
690	36253	16211
691	36326	16168
692	36402	16126
693	36476	16083
694	36484	16011
695	36493	15939
696	36564	15895
697	36639	15852
698	36652	15783
699	36723	15738
700	36799	15696
701	36872	15652
702	36946	15609
703	36949	15535
704	36969	15469
705	36979	15399
706	36996	15332
707	36998	15259
708	37001	15186
709	37004	15114
710	37077	15070
711	37151	15027
712	37225	14984
713	37300	14941
714	37375	14898
715	37452	14855
716	37488	14796
717	37561	14752
718	37635	14708
719	37712	14665
720	37787	14622
721	37790	14550
722	37865	14507
723	37940	14463
724	37943	14392
725	37963	14327
726	38037	14283
727	38039	14212
728	38047	14144
729	38050	14073
730	38123	14028
731	38196	13984
732	38216	13920
733	38289	13875
734	38363	13831
735	38440	13788
736	38452	13721
737	38522	13676
738	38598	13632
739	38673	13588
740	38749	13543
741	38818	13497
742	38888	13451
743	38963	13406
744	39038	13362
745	39041	13292
746	39117	13248
747	39119	13179
748	39193	13134
749	39268	13089
750	39338	13042
751	39407	12996
752	39420	12930
753	39422	12862
754	39494	12816
755	39496	12747
756	39572	12702
757	39648	12658
758	39723	12613
759	39736	12548
760	39738	12480
761	39744	12413
762	39747	12346
763	39749	12278
764	39814	12230
765	39817	12163
766	39891	12118
767	39904	12054
768	39978	12009
769	40014	11952
770	40020	11886
771	40028	11821
772	40099	11775
773	40175	11730
774	40178	11664
775	40252	11619
776	40327	11573
777	40329	11507
778	40339	11444
779	40409	11397
780	40486	11352
781	40555	11305
782	40557	11240
783	40560	11174
784	40640	11130
785	40722	11087
786	40810	11045
787	40816	10981
788	40895	10936
789	40978	10893
790	41050	10846
791	41128	10801
792	41134	10737
793	41212	10692
794	41239	10634
795	41321	10589
796	41405	10546
797	41432	10487
798	41508	10441
799	41588	10397
800	41673	10353
801	41719	10299
802	41733	10238
803	41739	10175
804	41816	10129
805	41898	10084
806	41973	10038
807	42048	9991
808	42051	9928
809	42053	9864
810	42128	9817
811	42204	9771
812	42241	9715
813	42314	9668
814	42388	9622
815	42391	9558
816	42466	9512
817	42541	9465
818	42617	9418
819	42692	9371
820	42705	9311
821	42708	9248
822	42783	9201
823	42823	9146
824	42903	9100
825	42982	9054
826	42999	8995
827	43074	8947
828	43155	8901
829	43179	8843
830	43199	8785
831	43209	8724
832	43221	8665
833	43226	8603
834	43232	8542
835	43308	8495
836	43388	8449
837	43466	8402
838	43546	8356
839	43627	8309
840	43632	8249
841	43638	8188
842	43643	8128
843	43654	8068
844	43659	8008
845	43733	7961
846	43817	7915
847	43823	7855
848	43902	7808
849	43971	7759
850	44046	7711
851	44120	7664
852	44196	7616
853	44271	7568
854	44284	7510
855	44356	7461
856	44392	7407
857	44396	7347
858	44461	7298
859	44537	7250
860	44573	7195
861	44646	7147
862	44651	7088
863	44719	7039
864	44729	6980
865	44761	6926
866	44763	6866
867	44766	6807
868	44840	6759
869	44917	6711
870	44992	6663
871	44995	6604
872	45007	6547
873	45080	6499
874	45155	6450
875	45160	6392
876	45235	6344
877	45311	6296
878	45332	6240
879	45403	6191
880	45440	6137
881	45513	6089
882	45588	6040
883	45594	5983
884	45668	5934
885	45688	5878
886	45762	5829
887	45835	5781
888	45856	5725
889	45889	5671
890	45897	5614
891	45902	5557
892	45973	5508
893	46048	5459
894	46124	5411
895	46159	5357
896	46194	5304
897	46268	5255
898	46337	5205
899	46411	5156
900	46487	5107
901	46563	5059
902	46635	5009
903	46707	4960
904	46783	4910
905	46857	4861
906	46877	4806
907	46950	4757
908	46971	4702
909	46989	4647
910	47061	4597
911	47136	4548
912	47212	4498
913	47289	4449
914	47364	4399
915	47384	4345
916	47457	4295
917	47532	4245
918	47602	4195
919	47678	4145
920	47754	4096
921	47822	4045
922	47859	3992
923	47934	3942
924	47939	3886
925	48012	3836
926	48089	3787
927	48164	3736
928	48240	3686
929	48316	3636
930	48390	3586
931	48466	3536
932	48471	3480
933	48477	3425
934	48547	3374
935	48583	3321
936	48656	3271
937	48731	3221
938	48806	3170
939	48881	3120
940	48960	3069
941	49038	3019
942	49047	2964
943	49114	2913
944	49193	2863
945	49272	2812
946	49274	2757
947	49351	2707
948	49360	2652
949	49436	2601
950	49450	2547
951	49454	2493
952	49457	2439
953	49467	2385
954	49469	2331
955	49545	2280
956	49622	2229
957	49636	2176
958	49670	2123
959	49681	2070
960	49684	2016
961	49752	1965
962	49779	1912
963	49789	1859
964	49868	1808
965	49945	1757
966	50024	1707
967	50026	1653
968	50029	1600
969	50104	1549
970	50111	1496
971	50114	1443
972	50130	1391
973	50148	1338
974	50221	1287
975	50240	1235
976	50244	1182
977	50279	1131
978	50315	1079
979	50393	1028
980	50406	976
981	50411	924
982	50429	872
983	50505	821
984	50584	770
985	50586	718
986	50589	666
987	50667	615
988	50676	563
989	50679	511
990	50746	460
991	50749	409
992	50753	357
993	50829	306
994	50833	255
995	50910	204
996	50945	153
997	51019	102
998	51032	51
999	51104	0
