iter	RMSE
338	42992.00759
339	42985.3372
340	42983.38131
341	42982.49101
342	42980.40783
343	42979.33793
344	42968.33893
345	42915.94183
346	42845.28276
347	42836.60935
348	42814.7364
349	42795.79675
350	42795.66414
351	42795.5778
352	42795.20403
353	42794.16958
354	42789.13001
355	42728.25781
356	42727.8177
357	42696.25755
358	42642.31252
359	42642.12267
360	42627.48921
361	42597.83244
362	42580.19145
363	42563.55368
364	42514.27606
365	42436.95785
366	42436.88564
367	42428.92449
368	42413.42948
369	42397.57111
370	42397.57043
371	42350.94065
372	42349.47202
373	42349.4602
374	42349.1828
375	42348.58955
376	42305.90046
377	42305.5502
378	42305.31983
379	42257.40055
380	42221.5996
381	42221.17946
382	42196.16957
383	42173.90517
384	42148.62399
385	42139.77515
386	42139.66611
387	42098.26602
388	42074.69339
389	42039.48981
390	42019.57064
391	42016.92424
392	42012.13519
393	42011.59007
394	42011.08175
395	41987.49743
396	41977.92546
397	41974.20278
398	41960.11752
399	41957.21705
400	41929.15705
401	41929.14398
402	41884.39597
403	41857.37252
404	41851.63165
405	41850.87821
406	41850.6017
407	41850.59472
408	41850.34234
409	41833.00629
410	41803.83397
411	41803.09508
412	41762.90365
413	41749.08208
414	41749.03473
415	41727.97993
416	41711.82027
417	41703.01416
418	41702.7647
419	41680.68741
420	41657.96589
421	41637.33107
422	41636.67171
423	41587.61317
424	41585.83904
425	41582.45371
426	41580.73137
427	41580.72284
428	41580.4823
429	41576.60371
430	41541.70227
431	41541.65141
432	41496.92203
433	41450.48416
434	41450.354
435	41449.8209
436	41445.31158
437	41445.30434
438	41445.26918
439	41444.57396
440	41398.53479
441	41337.79847
442	41328.58592
443	41327.96175
444	41326.26504
445	41326.20459
446	41305.55449
447	41302.98593
448	41274.57557
449	41269.6289
450	41268.12556
451	41259.62439
452	41204.81863
453	41195.18538
454	41193.41366
455	41192.73117
456	41192.17548
457	41191.96712
458	41189.24219
459	41179.56667
460	41176.40243
461	41175.84588
462	41175.52455
463	41160.35961
464	41158.495
465	41155.25158
466	41150.91311
467	41125.88272
468	41122.13407
469	41080.67579
470	41080.53306
471	41047.52174
472	41046.79848
473	41046.61074
474	41046.4564
475	41046.27553
476	41027.74859
477	41024.93503
478	41024.92947
479	40998.18611
480	40996.58824
481	40980.94989
482	40931.85802
483	40931.68871
484	40931.68036
485	40921.7345
486	40881.85901
487	40881.81258
488	40881.49159
489	40878.55653
490	40874.74066
491	40874.61003
492	40844.35416
493	40816.25069
494	40815.75612
495	40790.60909
496	40786.50025
497	40786.03151
498	40781.97461
499	40760.03759
500	40744.27689
501	40744.17304
502	40677.67119
503	40674.80774
504	40642.52585
505	40632.65265
506	40632.61423
507	40631.35271
508	40631.20561
509	40611.45188
510	40605.32541
511	40605.3209
512	40604.61269
513	40604.60582
514	40603.71768
515	40571.27041
516	40569.88222
517	40568.95937
518	40566.23868
519	40565.6779
520	40532.55432
521	40485.23965
522	40479.89229
523	40479.88821
524	40476.43652
525	40474.26396
526	40472.54413
527	40472.4831
528	40471.40384
529	40471.39755
530	40471.22828
531	40468.8221
532	40436.1101
533	40435.21286
534	40393.99958
535	40380.91342
536	40356.08477
537	40316.6705
538	40315.72
539	40314.90407
540	40308.67195
541	40307.86918
542	40307.22201
543	40307.04352
544	40306.85224
545	40303.87257
546	40303.32052
547	40289.68878
548	40288.28922
549	40263.89056
550	40229.53905
551	40226.43999
552	40225.56205
553	40217.99067
554	40217.40089
555	40216.13122
556	40171.23618
557	40107.20145
558	40082.08894
559	40073.97952
560	40073.88269
561	40054.84085
562	40027.54059
563	40026.67922
564	40014.22317
565	40007.35602
566	39998.92873
567	39998.90249
568	39936.28635
569	39919.13056
570	39881.58855
571	39881.5833
572	39861.97163
573	39861.1877
574	39847.99984
575	39847.67653
576	39847.55617
577	39846.80484
578	39843.99465
579	39843.64793
580	39842.84141
581	39842.81317
582	39833.55033
583	39832.94362
584	39832.94106
585	39831.96366
586	39831.96125
587	39822.20612
588	39794.81459
589	39794.63201
590	39793.99463
591	39793.79724
592	39776.91806
593	39766.63034
594	39755.27171
595	39740.99451
596	39734.08202
597	39733.25696
598	39724.89172
599	39700.59951
600	39699.98796
601	39666.9251
602	39662.5813
603	39661.57591
604	39661.0059
605	39651.83465
606	39633.43363
607	39632.25482
608	39631.60404
609	39597.12938
610	39597.11077
611	39596.06593
612	39595.25666
613	39593.3069
614	39585.54262
615	39582.05236
616	39581.64132
617	39581.46831
618	39566.03472
619	39564.94045
620	39556.89307
621	39551.9771
622	39532.30703
623	39531.38656
624	39487.17377
625	39481.35171
626	39475.1298
627	39474.9847
628	39474.1811
629	39446.77224
630	39437.61435
631	39413.67549
632	39413.01922
633	39412.90146
634	39412.89492
635	39373.43603
636	39371.12697
637	39357.56095
638	39336.6074
639	39311.2777
640	39311.27567
641	39301.94948
642	39301.13962
643	39300.47754
644	39300.4425
645	39300.26395
646	39299.56124
647	39299.55792
648	39299.53362
649	39271.63445
650	39271.22699
651	39266.78474
652	39266.55262
653	39266.53353
654	39220.898
655	39220.76973
656	39220.53791
657	39209.5096
658	39209.5073
659	39209.3186
660	39206.31692
661	39206.02774
662	39192.02892
663	39192.01825
664	39190.042
665	39189.15654
666	39170.79242
667	39166.41766
668	39165.55436
669	39165.15834
670	39154.34066
671	39154.33755
672	39153.65086
673	39153.61335
674	39124.52757
675	39124.18081
676	39114.37601
677	39114.2441
678	39114.1929
679	39104.57097
680	39104.42416
681	39104.34392
682	39098.66419
683	39098.43619
684	39095.2301
685	39095.07625
686	39094.8219
687	39079.08637
688	39078.68721
689	39075.18042
690	39074.91343
691	39072.64328
692	39022.46487
693	39021.31859
694	39021.31006
695	39020.93034
696	39019.35486
697	39009.86401
698	39009.81117
699	38993.94983
700	38942.4556
701	38940.51699
702	38937.0229
703	38937.02172
704	38936.72655
705	38936.46272
706	38935.69459
707	38935.69349
708	38935.68637
709	38935.67942
710	38917.95239
711	38905.84558
712	38902.87058
713	38881.47917
714	38875.92526
715	38836.99693
716	38836.59661
717	38809.96091
718	38789.37048
719	38774.95142
720	38773.46637
721	38773.46502
722	38771.87976
723	38769.15532
724	38769.15411
725	38768.92561
726	38767.30515
727	38767.29888
728	38767.29141
729	38767.29026
730	38766.67728
731	38765.84037
732	38765.53834
733	38759.62257
734	38759.26065
735	38736.88232
736	38736.05588
737	38735.10305
738	38724.22917
739	38723.8168
740	38720.93254
741	38720.66609
742	38718.87551
743	38713.41292
744	38713.22711
745	38713.22703
746	38696.87016
747	38696.87
748	38673.06815
749	38668.5773
750	38668.30449
751	38668.12228
752	38668.09479
753	38668.09387
754	38657.61571
755	38657.61559
756	38657.29073
757	38656.45189
758	38644.80647
759	38644.70485
760	38644.70396
761	38644.45376
762	38644.45289
763	38644.45089
764	38644.14422
765	38644.14227
766	38643.24198
767	38643.21425
768	38625.08015
769	38624.7376
770	38624.72577
771	38624.7033
772	38621.95322
773	38619.45321
774	38619.45249
775	38618.43926
776	38618.06574
777	38618.06496
778	38618.03946
779	38615.38596
780	38615.07575
781	38614.86869
782	38614.86489
783	38614.86322
784	38596.02998
785	38567.97222
786	38567.77316
787	38567.7715
788	38559.08133
789	38557.8515
790	38557.6008
791	38550.38981
792	38550.3882
793	38550.17105
794	38550.14345
795	38547.21424
796	38546.83963
797	38546.7857
798	38546.12108
799	38545.87468
800	38534.41327
801	38533.87352
802	38533.54385
803	38533.54243
804	38533.34466
805	38526.21597
806	38517.02332
807	38495.50205
808	38495.50134
809	38495.50086
810	38467.75325
811	38467.25075
812	38467.22554
813	38452.55618
814	38444.54657
815	38444.54524
816	38440.43494
817	38439.18665
818	38438.09823
819	38436.54166
820	38436.5241
821	38436.52278
822	38436.29076
823	38436.16445
824	38429.70688
825	38428.77238
826	38428.74725
827	38427.80466
828	38422.11695
829	38420.72117
830	38420.34945
831	38418.81937
832	38418.55896
833	38418.5586
834	38418.55751
835	38418.48454
836	38418.43688
837	38418.1897
838	38417.5062
839	38416.15087
840	38416.14965
841	38416.14933
842	38416.14813
843	38416.14009
844	38416.13979
845	38414.29322
846	38414.12264
847	38414.12146
848	38400.84244
849	38400.79121
850	38398.48415
851	38398.27743
852	38389.59249
853	38385.66244
854	38385.64858
855	38385.49356
856	38385.40617
857	38385.4053
858	38385.17519
859	38385.03907
860	38384.86721
861	38384.44885
862	38384.4457
863	38384.30029
864	38384.15347
865	38384.04641
866	38384.03857
867	38384.03756
868	38372.27726
869	38364.44693
870	38339.02948
871	38339.0175
872	38338.88733
873	38338.07691
874	38336.13612
875	38336.13546
876	38326.98254
877	38326.19428
878	38326.01194
879	38310.10681
880	38309.96455
881	38300.35013
882	38279.97347
883	38279.92815
884	38279.6985
885	38279.61131
886	38271.82807
887	38271.76024
888	38271.65413
889	38271.61174
890	38271.48563
891	38271.38869
892	38246.32191
893	38245.99179
894	38230.75032
895	38230.10919
896	38229.99017
897	38220.36126
898	38220.05019
899	38219.43956
900	38216.97544
901	38216.90828
902	38174.80749
903	38174.56327
904	38169.79756
905	38153.81321
906	38153.71908
907	38153.37218
908	38153.33435
909	38153.29263
910	38151.36023
911	38149.72033
912	38145.4358
913	38121.87712
914	38102.16382
915	38102.02725
916	38062.17969
917	38061.7082
918	38056.55303
919	38055.74732
920	38052.56078
921	38052.34274
922	38052.24048
923	38023.1425
924	38023.06443
925	38022.97714
926	37991.15012
927	37991.08361
928	37990.96272
929	37987.83661
930	37987.50075
931	37981.83745
932	37981.83711
933	37981.83568
934	37981.43531
935	37981.15411
936	37980.16343
937	37964.71261
938	37964.36509
939	37964.14311
940	37963.48088
941	37958.55593
942	37958.55268
943	37958.28043
944	37958.24671
945	37936.45402
946	37936.45346
947	37935.90484
948	37933.91776
949	37933.82524
950	37933.80497
951	37933.80475
952	37933.80439
953	37933.74228
954	37933.73659
955	37927.58656
956	37927.4167
957	37927.40913
958	37927.13596
959	37927.09309
960	37927.09304
961	37926.26083
962	37926.02287
963	37925.96633
964	37915.43191
965	37914.82508
966	37908.78376
967	37908.78369
968	37908.78364
969	37908.06162
970	37908.05814
971	37908.05782
972	37907.97103
973	37907.91435
974	37904.59278
975	37904.45659
976	37904.45626
977	37904.37117
978	37904.33788
979	37903.99972
980	37903.92319
981	37903.91889
982	37903.86006
983	37899.99899
984	37899.61598
985	37899.61594
986	37899.6159
987	37895.04631
988	37895.00418
989	37895.00414
990	37891.76414
991	37891.76411
992	37891.76375
993	37882.5049
994	37882.50486
995	37877.38049
996	37877.31154
997	37876.25886
998	37876.2184
999	37874.90623
